title,runtime_min,views,language,source,num_credits,credited,slug,id
Down & Out,15,0,English,manual,5,Terry Emmanuel (actor); Udoka Oyeka (director); Elvina Ibru (director); Lala Akindoju (director); Kenneth Uphopho (director),down-out,c9470e48-d21f-4928-bc75-0b7c15680055
The Angel in the Stone,11,0,English,manual,15,Ajala Sodiq Pelumi (actor); Olasunkanmi Olowu (actor); Precious Ojo-Ebenezer (actor); Margret Chetachi (actor); Joseph Oluwaseun Onyeanu (writer); Ebunoluwa Oluwarinu (actor); Jessica Ikhile (actor); Margret Chetachi (director),the-angel-in-the-stone,2e2161b9-3f26-4de3-abd7-d460e7ce2025
Masquerade,15,0,English,mubi,7,Olive Nwosu (director); Olive Nwosu (writer); Tom Weir (crew); Teniola Aladese (actor); Sheila Chukwulozie (actor); Matthew Serra (crew); Alexander Polunin (producer),masquerade,f5c2855c-4e2e-46de-8ba2-667d494d9432
Besida,12,0,English,mubi,11,Chuko Esiri (director); Chuko Esiri (producer); Diogo Costa Amarante (crew); Herdís Stefánsdóttir (crew); Pınar Yorgancıoğlu (crew); Dan Meththananda (producer); Chuko Esiri (crew); Oghenetega Emunemu (actor),besida,61504d70-b823-4c1c-88c9-6cf3ee481fbe
Lost,5,0,English,mubi,8,Adigun Temitope Idealism (writer); Dennis Ayokunle (crew); Toheeb Festo (crew); Adigun Temitope Idealism (director); Abraham Oluode (actor); Alabi Boluwaji (director); Adigun Temitope Idealism (producer); Adigun Temitope Idealism (crew),lost-2,803c790e-1288-4934-adac-110c62fd3b57
Did We Have Sex,10,0,English,mubi,3,Lynne Africa (producer); Rotimi Feyisayo (director); Jesse Okeleye (producer),did-we-have-sex,e7111e09-e620-4eaa-84fb-43ec983c16f7
Faluyi,14,0,English,mubi,4,Ayo Akingbade (producer); Anna Meller (crew); Ayo Akingbade (director); Pierce Robinson (crew),faluyi,a58ac716-a582-4d7b-8d0e-528de71afa31
Rehearsal,14,0,English,mubi,9,Michael Omonua (director); Amanda Oruh (actor); Michael Omonua (writer); Don Paul Umana (producer); Michael Omonua (crew); KC Obiajulu (crew); Ruby Akubueze (actor); Brutus Richard (actor),rehearsal,6e39e096-d3f7-4ad9-b357-d3583efce576
Untitled,3,0,English,mubi,5,Utibeabasi Eweh (director); Edidiong Eweh (crew); Utibeabasi Eweh (writer); Betty Klait (actor); Uchechi Treasure (actor),untitled,d6c56a0f-5e44-442c-a73b-f7328089b401
Fluid Lagos,11,0,English,mubi,10,Nora Mandray (director); Ramon Shitta (director); Lateefah Mayaki (director); Kenneth “laboomz” Donatus (director); Peace Olatunji “dopay” (director); Wami Aluko (director); Morola Odufuwa (director); Justine Chima Unanka (director),fluid-lagos,d0212dc1-9339-4bbc-8006-5db67cb5c599
THE JOB INTERVIEW,15,0,English,manual,4,Lasisi Elenu (actor); Officer Woos (actor); Porsho Tilly (actor); Nosa Afolabi (producer),the-job-interview-2,5818d320-cae4-4fbf-ae51-371a51a4577a
Bruises Behind Closed Doors,12,0,English,mubi,10,Iyabo Mosaku (actor); Adigun Temitope Idealism (writer); Adigun Temitope Idealism (producer); Popoola Boluwatife (producer); John Chizoba Vincent (crew); Grace Michael (actor); Taiwo Kayode (actor); Adigun Temitope Idealism (director),bruises-behind-closed-doors,b2db6e98-f2d5-494d-b8aa-a48aa175785c
Sibe,15,0,English,manual,3,Kunle Remi (actor); Lateef Adedimeji (actor); Bimbo Ademoye (actor),sibe-episode-1-pt-1-starring-adedimeji-lateef-kunle-remi-bimbo-ademoye-bimbo-ademoye,98534cba-b200-40df-8960-058934b9bfcd
Alahun,1,0,English,manual,19,Faithia Balogun (actor); Odunlade Adekola (actor); Ibrahim Chatta (actor); Lateef Adedimeji (actor); Kunle Remi (actor); Omowunmi Dada (actor); Moshood Fattah (actor); Tomi Ojo (actor),alahun-the-weaver,80c79fb5-5258-48bc-a4ac-e44987ac3318
A Kalabanda Ate My Homework,6,0,English,accesskla,26,Faith Kisa (actor); Raymond Malinga (director); Allan Muyinga (crew); Paul Desh Bwengye (crew); Tim Hook (crew); Isaiah Mucunguzi (composer); Nakishero L. Francis (crew); Jonathan Onyango (crew),a-kalabanda-ate-my-homework,6bc2566a-70af-44c5-a586-97ca144944e4
Curfew Nights,9,0,English,accesskla,14,Ali Kisitu (crew); Muwonge Isaac (actor); Aiden Gasha (actor); Mark Agume (actor); Cypus Bitazali (actor); Ali Kisitu (director); Ali Kisitu (producer); Tania Xandy (actor),curfew-nights,e463b569-c797-4ee7-8564-906ee45dddd3
EMPTY,5,0,English,accesskla,18,Lukman Abdulraman (writer); Philip (actor); Esther Nakaziba (crew); Lukman Abdulraman (director); Sandra Kosse (actor); Lukman Abdulraman (producer); Ddungu (actor); LoukOut Films (crew),empty,7fea56d5-2568-418b-b9cb-13b96f6f8c37
Fidelity,12,0,English,accesskla,15,Josephine Kabahuma (actor); Rose Basemera (actor); Jolly Namara (actor); Kizito Samuel Saviour (director); Kizito Samuel Saviour (cinematographer); Kizito Samuel Saviour (editor); COCONOTE Studios (crew); Josephine Kabahuma (writer),fidelity,588dfcf6-104f-4666-abe1-49980382bd92
Hakeem's Nightmare,9,0,English,accesskla,11,Jordan Muyambi (actor); Bruce Murungi (producer); Square Media (crew); Pius Talemwa (director); Pius Talemwa (editor); Hakeem Twinomugabe (actor); Pius Talemwa (cinematographer); Ethel Aanyu (actor),hakeems-nightmare,a5bcbe26-be52-44d6-b0ad-0f40d52c7957
Heaven Sounds Boring,7,0,English,accesskla,13,Daniel Omara (actor); Patience Nitumwesiga (writer); Rosco Bukenya (crew); Praise Ninsiima (crew); Phil Wilmot (composer); Patience Nitumwesiga (producer); Ali Musoke (producer); Shagika Tales (crew),heaven-sounds-boring,d696f304-c9db-4095-bb3c-729e15ff4d91
Jimbi,15,0,English,accesskla,53,Emmanuel Atuhaire (actor); Prossy Nambuya (actor); Raymond Rushabiro (actor); Felix Bwanika (actor); Hakim Mwima (actor); Hakeem Twinomugabe (actor); Philomena Nkinzi (actor); Crispus Ogwal (actor),jimbi,99d46e36-2451-4adf-900c-11abe4b5cf32
Kisenge Room,10,0,English,accesskla,22,Hakim Zziwa (director); Philip Buyi (crew); Hak Focus Entertainment (crew); Kibuuka Mukisa (cinematographer); Davis Elisha Ssebulime (crew); Godfrey Mugera (crew); Jemimah Nyiramugisha (actor); Hakim Zziwa (editor),kisenge-room,e6d7dd67-dd40-453f-9064-54cc03bb71a1
Agramon,15,0,English,accesskla,17,Robinah Akello (actor); Patricia Ainembabazi (writer); Aine Godfrey (cinematographer); Aine Photography (crew); Juliet Abel (producer); Brian Taremwa (actor); Caroline Katusiime (producer); Sharon Nankunda (producer),agramon,4dfeb7b4-7d63-439e-a1f9-66486837570d
One People,2,0,English,accesskla,8,Reagan Laurian (writer); Hanrayn Kaltone (actor); Reagan Laurian (actor); Henry Nathan Katongole (actor); Reagan Laurian (director); Jacklyne Namubiru (producer); Reagan Laurian (producer); Maximal Pictures (crew),one-people,a563a75f-ba30-4fa0-b525-255796e07a55
Ubuntu Uppercut,6,0,English,accesskla,44,Lucy Bunyenyezi (actor); Lukman Abdulraman (director); Mansur Kizza Ssejjemba (actor); Shujran Njeri (actor); Alexander Bagonza ( A Pass) (actor); Moses Twinemugisha (actor); Robert Kizito (actor); Bashiri Igulu (actor),ubuntu-uppercut,6c9042fe-2020-4108-89b1-6ffcf160b0af
Diva,10,0,English,nollymeter,5,Funsho Adeolu (actor); Elohor Festus (actor); Daniel Lloyd (actor); Femi Branch (actor); Efe Irele (actor),diva,d632b382-17b2-4635-8578-4c2ace85dcf5
ASH Moon,15,0,English,docuth_sync,6,Kelly Ozor (actor); Habiba Yakubu (actor); Precious Stanley (actor); Snowberry Films (director); Franka Obotuke (actor); Confidence Ovotu (actor),ash-moon,b4e172a8-5e41-4d64-bd79-e6580cf56b49
In Bloom: ‘Afefe’,9,0,English,manual,3,Nicole Teeny (writer); Nicole Teeny (director); MTV Staying Alive Foundation (producer),in-bloom-afefe,41289b12-771f-409c-8693-c5c3abac7c13
Strangers,1,0,English,manual,4,Biodun Stephen Oladigbo (director); Bimbo Akintola (director); Lateef Adedimeji (producer); Femi Adebayo (director),strangers,6bc598ca-96dd-43b4-a3af-d61af8054104
Itifaki,8,0,English,manual,13,Emmanuel Mugo (actor); Don Kutcheey (actor); Jack Mutinda (actor); Jethron Omuseni (camera and electrical department); June Wairegi (producers); Victor Vigedi (location management); Mohamed Ali (sound department); Omar Hamza (director),itifaki,c6aa1d31-000d-423e-b56f-81140884c7a5
Unearthly,14,0,English,manual,8,Marvel Ebinum (actor); Gift Ezenwiwe (producer); Ronald Yusuff (producer); Victory Ebinum (director); Marvel Ebinum (director); Marvel Ebinum (writer); Victory Ebinum (writer); Victory Ebinum (actor),unearthly,b475f15d-2b65-4df4-add0-7e03d52aeb3c
One Woman Film,9,0,English,manual,3,Drita Kabashi (actor); Anita Morina (writer); Anita Morina (director),one-woman-film,20606e02-f9ba-46a4-85ab-d1bfda355942
Masoko Na Mabele,3,0,fr,manual,5,Léa Esmaili (director); Theodora (actor); Theodora (writer); Léa Esmaili (writer); Thisizlondon (actor),masoko-na-mabele,c7925386-728f-441c-822b-f120fbe06335
True Affection,12,0,English,manual,12,Funmbi Toye (actor); Susan Ibanga (actor); Charles Lenny (actor); Maryann Ivy (actor); Adebayo Oloko (actor); Chinedu J. Orjiudeh (actor); Benita Asomugha (actor); Dozie Uzoma (actor),true-affection,d723041b-dbeb-496f-931c-a462c08b5d62
Salamatu’s Rhapsody,10,0,ha,mubi,7,Abu-Bakr S. Adamu (director); Adegoke Opeyemi (director); Wapi Barau (actor); Hauwa Ibrahim (actor); Shimataver Igbawua (producer); Abu-Bakr S. Adamu (writer); Habiba Tanko Zock-Sock (actor),salamatus-rhapsody,420d981c-db6a-4319-a37d-dec449c3bc05
Fles,5,0,English,manual,3,Lochi Kalu (director); Promise Agbor (actor); Olamide Otunbade (actor),fles,ca79a044-2486-42fd-a7ae-f9958285a9f9
Kate,14,0,English,manual,6,Oluwaseunfunmi Mascot (actor); David Micheal (actor); Victory Iyobosa (actor); Hussaina Aisimi (actor); Gideon Olusola (director); Akume Pierre (writer),kate,b69515cb-4107-47a4-973e-332472388a82
Swimming In A Sea Of Trauma,7,0,English,manual,5,Maryann Ivy (actor); Uzoamaka Onuoha (actor); Ugochukwu Azuya (writer); Ugochukwu Azuya (producer); Ugochukwu Azuya (director),swimming-in-a-sea-of-trauma,c265637d-19d8-4579-abf5-26ef39d42a58
Torn,12,0,English,manual,14,Lauren Gillingham (actor); Keith Bonnell (actor); Eric White (actor); Keith Bonnell (producer); Mimi Uchendu (writer); Peter Buckle (producer); Mimi Uchendu (director); Iretiola Doyle (director),torn,c00601ea-44a1-4d80-9fc0-f6286317d896
God's Wife,15,0,ig,mubi,9,Michelle Okwosha (actor); Dika Ofoma (writer); Dika Ofoma (producer); Sandra Dede Baake (producer); Chinyere Nwude (actor); Ego Nworji (actor); Onyinye Nnena Odokoro (actor); Uzochukwu Nnadi (actor),gods-wife,6716ddbd-dc30-4571-9f58-078fc03e77bb
Sip,11,0,English,manual,5,Fisayo Adefolaju (actor); Chimezie Nwagbo (writer); Chikelue Okonkwo (producer); Kevin T. Solomon (actor); Duru Azubuike (director),sip,9759be22-2112-4880-95a5-f30dfa7f2857
Yearning,14,0,ha,manual,5,Khadijat Kabir Umar (actor); Lawandi Bashir Datti (actor); Umar Turaki (director); Umar Turaki (writer); Ulan Garba Matta (producer),yearning,ab9b05d5-a9b7-43d7-83ff-3224fd5107b0
Unburied,13,0,English,manual,6,Alexandra Maduagwu (actor); Dolapo Osunsina (actor); Ayo Lawson (writer); Ayo Lawson (director); Uyaiedu Ikpe-Etim (writer); Agomuo Osinachi (actor),unburied,c104737f-9ffc-4b56-b441-f16a83685d3b
Zion: A Short Film,4,0,English,manual,3,June Olu (producer); Tolu Joseph (director); Kayla Fanen-Acho (actor),zion-a-short-film,07b7b66e-bd86-45cf-9782-faf1fe06ff94
The Camssassins,3,0,English,manual,6,Ronald Yusuff (actor); David Spiff Umeh (actor); Ridwan Adeniyi (actor); Richard Yusuff (actor); DAVID OHAJU (actor); Page Ben Bako (actor),the-camssassins,959fe531-ad49-4445-ba42-7d31b36a05eb
Aje And Bruja,12,0,English,manual,3,Nengi Adoki (actor); Udoka Oyeka (actor); Nosa Igbinedion (director),aje-and-bruja,8a5757c4-aeb2-4cea-a634-085f605aed91
Big Man,15,0,English,manual,10,Ryan Silbert (producer); Robert Profusek (producer); Julius Onah (writer); Chuko Esiri (producer); Adekunle Adeleke (actor); Kaptaintony Ofili-Akpom (actor); Wale Ojo (actor); Julius Onah (director),big-man,a4ed2bec-bebf-4c77-b8e3-97dfd243ec31
Fractured Intimacy,14,0,English,mubi,10,Adigun Temitope Idealism (producer); Mayowa Afolabi (director); Alabi Boluwaji (actor); Adigun Temitope Idealism (crew); Temiloluwa Atanda (crew); Adetutu Oloyede (crew); Adigun Temitope Idealism (writer); Dennis Ayokunle (crew),fractured-intimacy,a57b3623-738d-4ea6-b0f9-94e3de59c91c
"Goodbye Chicken, Farewell Goat",6,0,English,manual,4,Julius Onah (actor); Julius Onah (writer); Julius Onah (producer); Julius Onah (director),goodbye-chicken-farewell-goat,5f245fbf-bb9f-4167-b2c6-9d9483b22913
Able Leader,8,0,English,manual,10,Tobi Branch (actor); Ose Certified (actor); Harryson Aihie (actor); Fulfilment Siyanbola (actor); Ladipo Tolulope (actor); Wisdom Deji-Folutile (actor); Joey Jonathan (actor); Victor Egwuom (producer),able-leader,65840ddc-918a-4892-a869-946c4c7675da
Adura Baba Mi,15,0,English,mubi,10,Janjala Benebi (actor); Adediwura Gold (actor); Juliana Kasumu (producer); Ese Onojeruo (producer); Sarah Oduwole (actor); Ayomide Osho (actor); Juliana Kasumu (director); Joseph Boyo (actor),adura-baba-mi,0b2c8ea0-acc9-49be-baac-edca889c8d87
All The Places I Once Loved You,7,0,English,manual,6,Enoch Itua (actor); Ibukun Ajadi (actor); Rete Poki (producer); Rete Poki (director); Ife Olutayo (producer); Ife Olutayo (director),all-the-places-i-once-loved-you,b029e24e-3aa4-447a-bca7-c386c45bd268
Hanky Panky,3,0,English,manual,4,Oshuwa Tunde-imoyo (actor); Opemipo Aikomo (producer); Daniel Orubo (director); Opemipo Aikomo (director),hanky-panky,6b6bbb14-6c51-4cbf-b3c4-d70571234633
Kimono Kid,8,0,English,manual,10,Seyi Akinlade (writer); Gilchrist Emeremgini (actor); Josef Adamu (writer); Dare Olaitan (writer); Ian Osonyeta Ogah (actor); Dare Olaitan (director); Josef Adamu (director); Ian Osonyeta Ogah (director),kimono-kid,b449b023-1789-4c30-aca1-534beb2d4bb0
Egúngún,14,0,yo,manual,9,Momoh Pius Oshogwemoh (actor); Angel Peters (actor); Elizabeth Popoola (actor); Olive Nwosu (director); Teniola Aladese (actor); Olive Nwosu (writer); Sheila Chukwulozie (actor); Loveth Onyemaobi (actor),egngn,f570b4bd-1cf8-4579-843b-c55e09217f5f
Tì ẹ Ńbọ̀,5,0,yo,manual,6,Chinedu Grey (actor); Chinazaekpere Chukwu (director); Bolaji Gelax (actor); Tolulope Odewunmi (actor); Brutus Richard (actor); Nonso Ekemezie (actor),t-b,d8026f82-145e-4e58-b322-c82f7205a46a
Poets on Film No. 1,9,0,English,manual,9,Paul Hecht (actor); Leonard Cohen (writer); Bozenna Heczko (director); John Robert Colombo (actor); John Robert Colombo (writer); Elizabeth Lewis (director); Guy Glover (producer); Janet Perlman (director),poets-on-film-no-1,0d5b74bc-3e0e-4a13-8fcb-3f79fb635be7
Holding On,7,0,English,youtube,144,Uche Nalcy (producer); Valérie Kosmidis (director); BECKY SOMALICHE (actor); JACK OGECHUKWU VICTOROY MICHEAL (actor); PROPHET TAIWO OMONIY (actor); Habibat Adeyemi (actor); UCHIFBA REY (actor); BECKY SONIALCHE (actor),holding-on,18de850a-979d-4c33-999f-61287d4d1644
Hear me,8,0,English,manual,4,Monalisa Jideofor (writer); Oguguah Denzel Ugochukwu (producer); Micheal Ajayi (director); Onyekwelibe Precious (actor),hear-me,d7a02495-b035-437a-9ce1-2511d3355882
RED Wine,7,0,English,youtube,10,Daniel Schlick (cinematographer); Eddie Watson (producer); Intro Credits (crew); Outro Credits (crew); EMIRAOR F.LMS (crew); Bodhi Irwin (cinematographer); Bodhi Irwin (director); Daniel Schlick (director),red-wine,aed85738-9276-42d4-b150-b53208cb47bb
Scatter,4,0,English,youtube,22,Uche Nalcy (producer); Abi Timmins (director); Saton Emmanue (actor); Doctor Bre Rubhlemeech (actor); Rustine Orem (actor); Lady Ucbe Haney (actor); Serene Seorne (actor); Thor Uahe (actor),scatter,2cf9a4fd-cd9e-4f1e-8362-f55c0a2a3038
Itunu,8,0,English,manual,3,Precious Ojo-Ebenezer (actor); Oluwakemi Folagbede (actor); Olasunkanmi Olowu (actor),itunu-2,c3106395-2fbf-49c1-b237-addbc3fa5062